episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
369,96,14.9840,0.7750,7,3,76,76,4,13,2416.83,2
370,353,-37.9540,0.6250,14,5,79,78,2,10,1889.73,2
371,142,-12.4077,0.6750,12,2,73,72,1,6,2050.60,1
372,352,-33.2582,0.6750,13,7,85,84,0,13,1975.28,2
373,16,-11.2417,0.7000,10,3,86,85,2,10,2113.45,1
374,53,1.4141,0.7500,9,4,78,78,1,9,2095.34,4
375,241,-0.8115,0.7500,10,5,77,76,2,6,2239.97,2
376,392,-36.0986,0.6500,14,8,85,84,0,9,1915.21,5
377,214,14.8084,0.7500,6,0,80,79,7,5,2158.47,2
378,341,-30.3704,0.6500,14,5,77,76,0,10,2039.70,0
379,471,-0.1442,0.7500,9,1,84,81,2,13,2093.58,2
380,151,12.6791,0.7750,8,2,75,75,3,9,2286.68,1
381,52,5.4194,0.7500,9,3,72,71,1,17,2035.74,0
382,53,14.3792,0.7750,7,5,74,72,1,17,2328.04,0
383,130,-23.4261,0.6500,14,3,69,69,1,11,1962.25,2
384,96,-22.9895,0.6750,12,6,79,79,1,9,2050.88,2
385,78,-2.0615,0.7500,9,5,80,80,1,14,2160.73,2
386,374,-36.0473,0.6500,14,6,82,80,0,11,1995.49,0
387,436,-22.9968,0.6750,13,5,76,73,0,5,1939.23,4
388,124,11.5649,0.7750,8,1,81,81,1,17,2355.46,4
389,15,6.0074,0.7750,8,4,83,82,2,15,2185.38,1
390,117,2.0841,0.7500,9,4,81,80,2,13,2316.31,3
391,27,26.5878,0.8250,6,1,79,78,3,15,2230.80,3
392,213,-2.6008,0.7000,10,5,68,68,3,5,2179.37,1
393,49,7.4728,0.7250,8,2,78,76,1,12,2094.24,2
394,245,-28.5331,0.6500,12,8,79,79,3,0,2076.45,2
395,197,7.7897,0.7500,10,0,72,71,0,4,2191.69,1
396,284,-7.4359,0.7250,10,4,80,79,2,7,2119.20,1
397,414,-24.7371,0.6250,13,4,75,75,1,9,1991.57,2
398,426,-25.4144,0.6500,13,4,77,74,1,10,1992.31,1
399,468,-26.6305,0.6750,13,7,74,72,2,2,1892.73,1
400,311,-23.3160,0.6750,13,6,72,72,1,8,1985.02,2
401,114,-14.5104,0.6750,11,4,73,72,5,12,2115.25,2
402,351,-21.1656,0.6750,13,2,79,78,0,9,1954.54,1
403,443,-1.4527,0.7250,10,2,75,73,2,8,2009.16,3
404,440,-22.6439,0.6750,12,5,80,78,0,8,1881.06,1
405,296,-46.7387,0.6000,16,7,77,76,0,5,1930.59,4
406,18,-18.1309,0.6750,12,4,80,80,1,10,1919.83,3
407,261,-13.1313,0.7000,11,4,78,78,1,1,2033.71,2
408,248,-25.3296,0.6750,13,6,77,77,0,1,1997.75,4
409,392,-43.3515,0.6250,15,5,81,79,1,5,1966.57,1
