episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
135,156,-12.8330,0.7000,11,3,79,79,1,14,2095.90,7
136,303,-16.6285,0.7250,11,6,85,85,1,7,2166.54,6
137,44,-1.1726,0.7500,9,3,84,84,2,11,2165.69,9
138,485,-34.5870,0.6250,14,7,72,69,0,3,1820.37,15
139,323,-11.8199,0.7500,10,5,89,87,0,15,2151.55,7
140,145,-4.8059,0.7000,8,4,83,80,4,17,2233.64,3
141,305,-31.3564,0.6500,14,4,79,79,1,8,2009.60,2
142,278,-11.0390,0.7250,11,2,81,81,2,5,2045.76,12
143,198,-5.9849,0.7000,11,2,74,74,1,7,2068.46,6
144,90,20.7714,0.8250,6,2,87,87,2,18,2305.95,6
145,134,-3.0920,0.7250,9,2,88,88,2,17,2187.71,7
146,258,-24.3159,0.6500,13,2,81,80,0,4,1990.64,4
147,439,-23.2126,0.6750,13,6,71,67,1,9,2040.26,10
148,450,-10.3408,0.7250,11,6,77,77,0,11,1957.32,2
149,399,-40.7239,0.6000,16,6,67,67,0,3,1779.60,2
150,172,-24.7050,0.6500,13,3,81,80,1,11,2141.92,8
151,103,-8.5790,0.7250,10,4,83,83,1,11,2134.40,3
152,288,-10.1152,0.7250,11,4,81,81,1,6,2163.30,12
153,228,-11.5283,0.7250,10,5,85,85,2,5,2086.38,3
154,482,-22.9375,0.6750,13,8,68,65,1,9,1884.83,4
155,456,1.1074,0.7500,9,3,76,72,3,11,2170.38,3
156,99,-12.9188,0.7000,10,2,89,89,4,15,2145.77,4
157,194,-17.4927,0.6750,11,5,76,76,3,5,2074.62,1
158,175,-15.6314,0.7000,12,5,74,73,2,4,2144.08,7
159,208,11.5575,0.7500,8,0,79,78,1,9,2255.98,11
160,456,-24.4448,0.6500,12,4,77,73,4,7,2021.66,6
161,202,12.5011,0.8000,6,5,88,86,2,12,2303.04,2
162,30,6.0786,0.7500,8,3,82,81,0,16,2208.20,5
163,268,-33.0952,0.6500,13,6,82,80,2,6,2097.93,5
164,24,-3.5768,0.7250,9,3,85,85,2,9,2107.34,6
165,355,-27.0607,0.6750,12,5,87,86,0,12,2013.59,8
166,233,-9.1351,0.7000,10,5,77,76,2,6,2119.50,5
167,395,-38.0178,0.6250,15,4,76,75,0,6,1950.09,13
168,358,-51.5429,0.6250,15,7,87,86,2,9,1963.91,12
169,213,-3.2625,0.7250,10,5,75,75,0,5,2147.47,7
170,201,-11.6769,0.7000,10,6,77,77,2,4,2174.32,12
171,472,-17.4894,0.7250,11,6,82,80,3,10,2074.38,12
172,66,4.9716,0.7750,9,3,79,79,1,10,2155.86,2
173,38,7.6302,0.7750,9,2,77,77,2,11,2193.00,2
174,421,-36.2329,0.6250,15,4,77,74,0,6,1812.51,6
175,485,-19.1755,0.7000,12,7,74,72,1,8,2037.03,15
176,267,-3.0189,0.7250,10,4,75,75,0,10,2064.54,4
177,165,-41.1645,0.6000,13,7,85,85,2,9,1947.17,7
178,422,-41.3408,0.5750,14,7,79,76,2,9,1869.15,3
179,104,-3.4535,0.7250,9,4,82,82,1,8,2121.72,11
180,317,-21.5259,0.7000,12,8,78,78,0,9,2139.07,12
181,303,-10.4523,0.7250,11,4,82,82,0,8,2056.61,18
182,190,9.6136,0.7500,8,3,77,77,1,6,2240.45,14
183,39,10.9586,0.7750,8,3,78,78,2,6,2205.52,8
184,190,-20.5461,0.7000,11,7,79,77,4,8,2078.90,3
185,194,-24.4883,0.6250,11,2,84,84,3,3,2074.70,9
186,163,2.5050,0.7250,9,3,79,79,1,9,2184.82,12
187,159,8.7687,0.7750,7,3,81,80,4,9,2187.50,3
188,279,-18.6604,0.7000,12,4,79,76,1,3,1989.69,15
189,417,-14.7999,0.7000,12,5,73,71,0,9,1998.98,8
190,33,21.4818,0.8000,7,2,75,75,1,4,2283.71,7
191,438,-6.8170,0.7250,11,5,71,69,0,9,2026.36,10
192,313,-0.7735,0.7500,10,6,76,72,0,12,2299.51,11
193,485,-10.4825,0.7250,11,5,77,74,1,9,2014.45,20
194,42,4.4012,0.7250,10,3,64,64,0,6,2111.94,19
195,64,31.4638,0.8750,5,4,76,74,2,11,2397.57,14
196,369,-22.2683,0.6750,12,6,78,78,1,10,1963.25,9
197,178,-6.5858,0.7250,10,6,79,79,1,5,2146.89,16
198,43,30.3548,0.8750,5,3,83,83,1,14,2343.54,5
199,369,-13.5225,0.7250,11,6,77,76,1,9,2087.11,14
200,346,-26.8159,0.6500,13,6,79,79,0,11,2144.55,22
201,402,-25.4162,0.6750,13,5,77,74,0,7,1937.35,12
202,286,-13.9321,0.7000,12,6,73,72,0,9,2165.29,23
203,17,5.4039,0.7250,9,3,72,71,1,4,2082.34,17
204,182,-2.4540,0.7500,10,7,77,76,0,8,2310.61,18
205,358,-28.9354,0.6750,13,6,79,78,0,13,1946.36,22
206,262,-8.4776,0.7250,11,4,76,75,0,3,2130.62,12
207,469,-16.8300,0.6750,12,5,74,69,1,6,1980.14,8
208,15,2.6512,0.7500,10,3,71,70,1,9,2158.26,24
209,434,-12.3171,0.6500,10,3,72,70,3,10,1949.30,22
210,341,-8.6017,0.7250,11,3,75,74,0,10,2138.55,26
211,81,23.9275,0.8500,6,5,77,77,1,11,2242.23,18
212,263,4.3719,0.7750,9,3,78,78,1,4,2195.77,23
213,80,28.7960,0.8250,6,2,72,71,1,12,2261.69,19
214,45,16.4858,0.7750,7,4,71,71,1,7,2206.96,16
215,351,-40.9639,0.6250,15,6,74,73,0,7,2080.43,10
216,10,3.0025,0.7500,9,4,73,72,0,8,2112.23,25
217,291,-16.5914,0.7000,12,5,75,74,1,9,2078.86,14
218,181,-21.5859,0.6750,13,7,68,68,0,4,2029.84,15
219,100,21.0920,0.8000,6,2,75,74,1,15,2307.28,19
220,464,-7.6410,0.7500,10,7,75,72,3,13,2068.58,17
221,462,-18.2857,0.7000,12,5,77,77,0,5,1998.94,18
222,181,13.5780,0.7750,8,2,72,72,2,10,2308.67,17
223,480,-41.4837,0.6000,16,5,67,62,1,2,1784.09,19
224,201,3.9928,0.7750,9,3,70,69,2,4,2171.18,8
225,220,-12.2026,0.7000,11,5,76,76,1,4,2155.82,7
226,316,4.1165,0.7750,8,4,81,79,4,12,2321.18,20
227,315,-26.2163,0.6750,13,5,76,76,0,8,1995.31,18
228,170,-8.5849,0.7250,11,4,77,76,0,11,2099.12,13
229,15,-1.4406,0.7250,10,4,70,69,1,7,2073.48,13
230,209,1.6918,0.7750,9,3,78,77,3,7,2236.31,19
231,257,10.1411,0.7750,8,4,72,70,3,5,2159.97,27
232,54,21.8624,0.8250,7,3,74,74,1,12,2198.34,18
233,186,-0.4152,0.7250,9,4,76,76,3,7,2253.89,17
234,369,-32.8770,0.6500,13,6,79,76,2,12,1985.32,11
235,87,2.5958,0.7750,9,6,77,77,1,9,2145.10,14
236,98,12.7873,0.8000,8,4,73,73,0,14,2189.45,22
237,388,-14.4266,0.7000,12,5,74,72,1,5,2099.51,14
238,261,-13.8950,0.7250,11,7,76,74,0,9,2104.74,17
239,124,28.5524,0.8500,6,1,75,75,1,15,2245.42,8
240,33,-1.1601,0.7250,10,5,71,71,0,7,2150.87,10
241,344,-21.9830,0.6750,13,7,68,67,0,12,2019.81,15
242,268,-31.1976,0.6500,13,7,73,72,1,3,1999.03,20
243,99,8.0839,0.7750,8,5,78,77,0,14,2263.90,21
244,384,-22.0644,0.6750,13,4,70,69,0,6,1970.08,21
245,323,-16.8127,0.6750,12,4,71,71,1,14,2215.33,8
246,440,-35.1372,0.6000,15,7,65,64,0,6,1812.51,14
247,44,-3.7385,0.7250,10,6,69,69,0,7,2056.40,13
248,320,-20.2461,0.7000,12,6,76,76,1,15,2108.20,13
249,112,-6.5806,0.7250,11,5,70,70,0,12,2105.20,13
250,159,16.7410,0.8250,7,4,78,78,3,7,2341.36,23
251,481,-17.3425,0.7000,11,6,79,77,1,14,1969.50,20
252,195,17.1897,0.8000,7,5,74,72,2,5,2363.62,18
253,164,2.6402,0.7250,10,2,69,69,1,11,2154.63,13
254,483,-7.0332,0.7000,11,1,75,73,1,5,2099.59,23
255,468,7.8778,0.7500,9,3,71,68,1,6,2112.16,22
256,300,-26.8937,0.6500,13,5,74,73,0,8,2072.44,24
257,27,17.5415,0.7750,8,3,67,65,0,8,2228.88,11
258,190,-24.6656,0.6750,13,6,78,78,0,7,2108.01,18
259,263,-15.1810,0.7000,12,3,76,76,0,3,2028.62,22
260,89,7.2699,0.7750,9,5,69,68,1,11,2215.93,16
261,292,5.5071,0.7500,10,1,71,70,1,9,2222.33,21
262,221,6.3481,0.7750,9,4,70,70,2,1,2248.78,24
263,279,-10.4952,0.7250,11,7,78,78,0,6,2202.14,23
264,246,-5.8824,0.7500,10,6,71,71,3,5,2109.96,10
265,480,-11.4007,0.6750,11,4,70,66,0,12,2018.01,20
266,94,14.7029,0.8000,8,2,75,75,1,12,2281.18,12
267,148,7.7616,0.7750,9,2,74,74,0,7,2148.69,18
268,172,-16.1222,0.6750,12,5,71,71,1,5,2085.98,17
269,439,-25.9242,0.6750,13,6,74,74,0,2,1851.08,10
270,67,23.0512,0.8250,7,4,70,70,2,9,2216.55,15
271,351,-28.4439,0.6750,13,7,74,74,1,10,2088.05,25
272,381,-19.7748,0.6750,13,5,68,68,1,9,2096.92,24
273,222,3.4070,0.7500,9,2,81,81,1,6,2268.97,23
274,333,-28.0041,0.6750,13,7,72,70,1,11,2095.44,18
275,337,-15.1516,0.7000,11,5,80,78,0,17,2161.69,35
276,112,-7.8947,0.7500,10,4,79,79,1,9,2113.44,17
277,222,14.0238,0.7750,6,4,80,78,1,7,2232.18,25
278,239,-17.9076,0.7000,12,6,72,72,1,3,2140.08,21
279,359,-20.8934,0.6750,13,5,69,68,1,7,2141.53,15
280,57,14.1155,0.7750,9,3,62,61,0,10,2145.80,8
281,124,-2.2878,0.7250,10,2,74,74,3,12,2186.72,21
282,301,-41.3299,0.6250,15,8,74,74,0,5,1916.53,10
283,371,-23.9531,0.6500,12,4,75,74,1,10,2002.83,23
284,404,-16.8155,0.7000,12,4,72,71,0,6,1943.96,18
285,237,-0.9033,0.7500,10,5,70,69,1,2,2082.08,19
286,266,-10.0462,0.7250,11,5,76,76,0,3,2108.42,21
287,474,-14.4308,0.6750,11,2,75,70,1,9,1987.83,17
288,57,8.8356,0.7750,9,5,66,66,1,6,2174.23,23
289,77,10.4931,0.7500,8,5,63,63,3,11,2176.86,12
290,436,-16.9168,0.6500,12,5,65,65,2,6,1886.32,11
291,144,-0.1179,0.7500,10,4,72,72,0,12,2149.56,10
292,228,2.5873,0.7500,9,5,72,72,1,1,2239.74,17
293,250,3.8939,0.7500,10,4,70,69,0,1,2259.18,15
294,82,8.0418,0.7500,8,4,71,71,1,11,2172.54,10
295,221,-2.2395,0.7500,10,7,72,72,0,3,2077.99,21
296,18,8.0155,0.7500,8,3,72,71,2,8,2172.63,17
297,296,23.3223,0.8250,6,3,78,75,0,18,2363.44,29
298,53,6.9778,0.7750,9,5,69,69,0,10,2165.84,26
299,332,-22.5554,0.6750,13,6,72,72,1,11,2144.30,9
300,68,16.3898,0.8000,8,6,66,66,0,7,2174.99,19
301,264,12.4735,0.7750,8,4,73,72,1,6,2200.00,25
302,299,-4.0385,0.7500,10,6,68,67,2,8,2061.86,28
303,288,8.3077,0.7500,8,3,73,71,1,12,2167.12,34
304,332,-10.3403,0.7250,11,4,76,76,0,14,2226.08,23
305,315,8.5368,0.7750,9,5,71,71,0,11,2257.62,18
306,95,20.1743,0.8000,7,3,74,73,1,13,2301.81,12
307,64,-18.4521,0.7000,12,6,76,75,0,6,2046.31,14
308,148,10.1743,0.7750,9,3,72,72,1,12,2263.11,19
309,64,3.0732,0.7250,10,3,68,68,0,8,2079.56,11
310,375,-28.3715,0.6500,14,3,72,72,2,8,2078.65,9
311,329,-3.8787,0.7500,10,4,76,75,0,15,2088.60,32
312,326,10.9258,0.7750,8,3,73,72,2,18,2344.05,19
313,280,-22.1236,0.7000,12,5,76,76,1,4,2024.58,29
314,217,15.1275,0.8000,7,4,75,74,1,3,2256.81,17
