episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
178,422,-18.6467,0.7000,12,5,79,77,1,11,1947.85,2
179,104,10.9426,0.8000,7,5,83,83,3,18,2275.66,2
180,317,-50.2316,0.6000,16,8,81,81,0,7,1994.15,1
181,303,-40.7471,0.6250,13,10,88,88,2,6,2034.91,4
182,190,21.2476,0.8250,7,3,77,75,1,7,2340.39,3
183,39,13.0801,0.8000,7,1,93,93,0,11,2269.46,4
184,190,6.1995,0.7500,8,5,77,76,3,3,2171.88,1
185,194,-8.7810,0.6750,8,4,81,81,3,7,2092.54,0
186,163,3.6799,0.7750,8,4,88,87,1,12,2280.90,1
187,159,-8.7568,0.7000,10,4,83,83,2,8,2242.92,6
188,279,-15.0924,0.6750,11,3,81,81,0,6,2079.44,3
189,417,-63.2002,0.5500,18,8,78,78,0,2,1839.00,4
190,33,-16.9060,0.7000,12,5,78,78,1,9,1928.89,2
191,438,-50.6512,0.6000,16,6,84,81,0,4,1726.45,0
192,313,-12.3147,0.7000,10,2,91,90,2,13,2207.83,3
193,485,-8.3752,0.7250,10,4,83,78,2,4,2062.88,3
194,42,-8.1217,0.7000,9,5,80,80,3,6,2084.37,1
195,64,24.8677,0.8500,6,4,79,78,1,14,2290.98,2
196,369,-32.5883,0.6750,13,5,88,86,3,8,1917.05,2
197,178,-9.9641,0.7000,11,4,82,81,1,8,2163.15,2
198,43,-1.0879,0.7500,10,4,83,83,0,5,2221.60,1
199,369,-35.3517,0.6250,14,6,80,78,1,10,2117.52,3
200,346,-46.3447,0.6250,15,7,85,84,0,8,1979.86,1
201,402,-22.3574,0.6750,12,3,79,75,2,8,2012.24,1
202,286,-51.5797,0.6000,16,9,78,78,0,6,1921.87,2
203,17,-3.9265,0.7250,10,4,77,76,2,5,2155.11,2
204,182,-19.4943,0.6500,11,4,76,75,2,4,2087.72,3
205,358,-48.0884,0.6000,16,6,77,77,1,6,1735.21,1
206,262,17.2143,0.8000,7,4,75,75,3,4,2229.94,0
207,469,-31.6995,0.6750,13,8,81,78,1,4,1882.23,0
208,15,-12.2293,0.7250,11,5,80,78,0,4,2016.06,1
209,434,-42.6710,0.6000,16,7,69,67,0,4,1827.44,2
210,341,-38.0721,0.6000,14,7,74,73,1,13,2061.62,1
211,81,6.5289,0.7750,9,4,79,79,0,12,2282.00,6
212,263,-10.3107,0.7250,10,6,82,82,2,1,2147.24,2
213,80,20.6310,0.8250,7,3,77,77,1,14,2227.49,0
214,45,5.4518,0.7750,8,5,75,75,4,11,2189.65,2
215,351,-44.0892,0.6250,15,8,80,79,0,7,2051.65,3
216,10,5.7351,0.7250,7,4,80,80,3,10,2186.50,4
217,291,-10.2715,0.7000,10,7,73,72,3,11,2158.21,1
218,181,-12.5498,0.7000,11,5,73,72,2,4,2130.36,1
219,100,2.4387,0.7750,8,4,85,85,5,20,2287.14,2
