episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
314,217,2.3604,0.7000,12,6,69,69,0,2,2079.12,10
315,127,40.1895,0.8000,6,2,79,79,4,20,2209.15,7
316,421,-10.1360,0.6500,14,4,70,68,1,6,1934.71,8
317,208,11.8061,0.7000,10,5,68,68,5,0,2099.03,6
318,149,13.5148,0.7250,10,5,68,66,2,9,2117.70,15
319,269,43.6785,0.8000,6,1,78,78,3,9,2315.14,13
320,54,14.8298,0.7500,10,3,82,81,0,10,2029.70,16
321,186,15.0439,0.7250,10,3,79,79,3,4,2077.94,8
322,240,31.5225,0.7750,7,2,82,81,4,11,2307.43,8
323,129,10.1373,0.7000,10,5,67,66,3,12,2047.17,13
324,9,24.0991,0.7500,8,3,79,79,2,12,2129.85,14
325,378,-23.6463,0.6000,16,7,69,69,0,4,1878.61,19
326,296,-1.3379,0.6750,12,3,82,80,2,9,2028.82,8
327,479,-0.0790,0.6750,12,5,75,70,0,6,1953.41,13
328,315,-6.7273,0.6750,13,7,75,74,1,8,2086.74,13
329,158,15.4864,0.7000,9,3,77,77,4,8,2176.05,10
330,172,18.8916,0.7000,9,4,70,70,3,8,2149.58,9
331,480,20.3173,0.7250,9,3,77,74,2,14,2159.60,5
332,13,17.8221,0.7500,9,4,82,81,1,12,2091.88,14
333,134,10.5609,0.7000,11,3,74,73,2,10,2086.13,21
334,137,36.9895,0.7500,6,1,74,74,5,16,2308.55,22
335,394,-2.5541,0.6750,13,5,73,71,1,6,1975.52,13
336,427,2.8007,0.6750,11,4,79,75,1,8,2004.17,14
337,185,-5.6901,0.6750,13,6,74,74,0,2,2114.45,5
338,326,11.7463,0.7500,10,5,81,80,1,7,2083.35,8
339,467,-10.8909,0.6500,14,6,75,71,0,9,1856.40,10
340,116,25.7273,0.7500,7,4,79,79,4,14,2255.36,12
341,300,2.5909,0.7000,12,4,74,74,0,6,2073.18,14
342,309,-2.6096,0.7000,12,5,83,82,2,8,2078.24,12
343,480,-0.6964,0.6750,12,5,70,65,1,7,1928.83,8
344,262,27.9044,0.7500,8,3,80,79,1,5,2215.27,9
345,169,19.3241,0.7500,10,4,74,74,0,7,2099.96,11
346,324,1.0398,0.7000,12,6,82,81,0,10,2238.40,15
347,322,20.2554,0.7500,9,5,76,74,3,11,2213.49,9
348,423,6.3931,0.7000,11,5,75,74,1,6,1976.65,9
349,421,25.0200,0.7500,8,2,80,77,2,11,2054.98,11
350,20,17.3559,0.7250,9,2,78,78,2,11,2195.78,10
351,310,4.4227,0.7250,11,5,81,79,1,9,2208.93,8
352,443,-10.5156,0.6500,14,4,75,73,1,6,1901.31,7
353,345,-1.7027,0.7000,12,7,79,78,0,9,2045.78,12
354,456,-2.5074,0.7000,12,6,78,75,0,8,1997.30,16
355,268,4.7768,0.7250,11,5,84,82,1,8,2154.22,10
356,395,4.8615,0.7000,12,3,76,75,1,3,2012.18,9
357,93,29.1318,0.8000,8,4,79,79,1,15,2151.75,9
358,142,14.7879,0.7500,10,4,78,78,2,11,2164.78,11
359,313,15.5866,0.7500,10,4,80,80,1,9,2146.63,8
360,234,-9.7113,0.6750,13,8,79,79,1,1,2134.46,13
361,387,1.2229,0.6500,12,3,77,76,2,9,2126.86,9
362,204,7.1835,0.7250,11,5,76,75,3,3,2197.65,5
363,117,32.4276,0.7750,8,3,76,75,1,14,2321.96,9
364,339,20.3602,0.7250,8,3,76,75,5,12,2164.45,8
365,457,3.3763,0.7250,11,7,76,74,1,10,1937.61,10
366,404,-9.6872,0.6750,13,7,76,75,1,4,1885.46,4
367,490,8.4041,0.7000,12,4,69,65,0,9,1933.03,9
368,473,13.6350,0.7250,10,4,83,78,2,12,2138.74,9
369,96,32.0276,0.8000,8,4,79,79,0,12,2252.10,9
370,353,-2.2742,0.7000,12,7,76,75,1,7,1983.05,12
371,142,13.1237,0.7500,10,6,77,77,1,11,2160.57,8
372,352,-3.3961,0.6750,13,5,77,76,0,10,2024.32,6
373,16,7.4205,0.7250,10,6,79,78,3,7,2006.85,16
374,53,11.2106,0.7250,9,4,85,85,2,8,2073.56,13
375,241,11.6822,0.7000,9,4,79,79,5,1,2181.37,10
376,392,-4.1852,0.6500,12,4,78,78,2,6,1965.57,22
377,214,0.4806,0.7000,12,6,77,77,0,0,2176.09,17
378,341,-3.1208,0.6500,12,3,83,82,1,7,2261.40,19
379,471,6.8742,0.7000,11,3,84,80,0,11,2166.49,12
380,151,12.0447,0.7250,10,4,78,77,2,9,2115.42,4
381,52,9.3581,0.7250,11,5,76,76,0,9,2054.42,7
382,53,29.0155,0.7250,6,2,84,84,3,9,2208.41,11
383,130,4.4662,0.7000,12,4,70,70,1,10,2021.01,12
384,96,40.9533,0.8000,7,3,69,69,1,16,2275.36,4
385,78,3.8961,0.7000,11,6,78,78,1,8,2038.33,9
386,374,2.7620,0.7250,11,5,84,83,3,10,2035.58,8
387,436,6.9747,0.7000,12,4,70,68,1,5,2014.65,11
