episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible,source_artifact
41,402,-8.4976,0.65,13,2,89,87,0,11,1928.33,2,python-ai/saved_models/marl/mappo_history.csv
42,311,-20.0553,0.6,15,3,86,85,1,7,2108.41,2,python-ai/saved_models/marl/mappo_history.csv
43,262,19.7663,0.75,9,5,79,79,1,6,2300.16,1,python-ai/saved_models/marl/mappo_history.csv
44,205,35.0238,0.8,6,2,90,89,5,12,2237.45,1,python-ai/saved_models/marl/mappo_history.csv
45,358,-22.1711,0.6,15,6,80,80,1,6,1874.04,1,python-ai/saved_models/marl/mappo_history.csv
46,225,-19.7327,0.625,15,5,76,76,2,1,1975.4,0,python-ai/saved_models/marl/mappo_history.csv
47,113,-3.277,0.65,12,2,87,87,0,11,2109.48,1,python-ai/saved_models/marl/mappo_history.csv
48,123,6.2655,0.675,10,3,85,85,3,15,2324.68,2,python-ai/saved_models/marl/mappo_history.csv
49,274,24.4234,0.775,8,2,88,88,4,11,2106.98,2,python-ai/saved_models/marl/mappo_history.csv
50,295,-17.4609,0.625,15,4,79,79,2,6,2128.85,2,python-ai/saved_models/marl/mappo_history.csv
51,68,34.5802,0.775,7,1,83,83,2,10,2167.34,0,python-ai/saved_models/marl/mappo_history.csv
52,111,38.9451,0.825,6,3,87,87,4,16,2318.86,1,python-ai/saved_models/marl/mappo_history.csv
53,164,6.7998,0.725,10,5,92,92,1,6,2086.32,1,python-ai/saved_models/marl/mappo_history.csv
54,248,11.3048,0.725,11,3,81,80,0,3,2192.0,4,python-ai/saved_models/marl/mappo_history.csv
55,157,3.5539,0.7,10,5,84,84,3,11,2037.25,2,python-ai/saved_models/marl/mappo_history.csv
56,282,3.8028,0.7,11,4,85,85,3,9,2020.83,2,python-ai/saved_models/marl/mappo_history.csv
57,158,20.3906,0.775,9,4,84,84,0,10,2215.1,1,python-ai/saved_models/marl/mappo_history.csv
58,482,-20.7406,0.625,14,6,84,82,2,5,1898.39,0,python-ai/saved_models/marl/mappo_history.csv
59,347,-25.5406,0.6,15,5,88,88,2,9,2002.91,1,python-ai/saved_models/marl/mappo_history.csv
60,184,1.155,0.675,10,7,85,85,2,10,2027.03,0,python-ai/saved_models/marl/mappo_history.csv
61,303,23.0118,0.775,9,3,87,85,1,11,2252.15,2,python-ai/saved_models/marl/mappo_history.csv
62,459,-19.8133,0.625,14,7,80,73,1,6,1955.08,3,python-ai/saved_models/marl/mappo_history.csv
63,164,30.6906,0.775,8,3,81,80,1,9,2322.73,0,python-ai/saved_models/marl/mappo_history.csv
64,234,-0.9637,0.7,12,6,76,74,1,5,1937.45,0,python-ai/saved_models/marl/mappo_history.csv
65,163,6.0993,0.725,10,5,88,88,4,10,2156.8,0,python-ai/saved_models/marl/mappo_history.csv
66,68,26.1125,0.75,7,2,91,91,2,10,2186.98,2,python-ai/saved_models/marl/mappo_history.csv
67,77,59.3513,0.875,4,0,86,86,4,16,2384.47,1,python-ai/saved_models/marl/mappo_history.csv
68,274,23.2161,0.75,9,2,84,83,1,11,2281.88,2,python-ai/saved_models/marl/mappo_history.csv
69,100,37.9517,0.8,6,1,96,96,3,15,2307.0,1,python-ai/saved_models/marl/mappo_history.csv
70,192,14.1647,0.675,9,3,83,83,4,6,2157.46,0,python-ai/saved_models/marl/mappo_history.csv
71,414,-0.0133,0.7,12,4,85,84,1,5,1886.46,1,python-ai/saved_models/marl/mappo_history.csv
72,176,-8.2282,0.675,13,4,85,85,3,6,2057.47,0,python-ai/saved_models/marl/mappo_history.csv
73,115,3.5786,0.675,10,3,89,88,3,11,2146.3,1,python-ai/saved_models/marl/mappo_history.csv
74,360,-17.9282,0.625,13,7,81,80,3,11,1922.81,1,python-ai/saved_models/marl/mappo_history.csv
75,303,-39.1232,0.575,17,7,82,82,0,6,2003.45,1,python-ai/saved_models/marl/mappo_history.csv
76,65,29.1806,0.8,8,4,86,86,1,11,2199.81,0,python-ai/saved_models/marl/mappo_history.csv
77,138,35.1668,0.8,7,3,84,84,3,15,2307.93,1,python-ai/saved_models/marl/mappo_history.csv
78,81,11.7559,0.725,10,6,83,83,1,9,2156.02,2,python-ai/saved_models/marl/mappo_history.csv
79,200,3.9481,0.7,12,5,79,79,0,7,2054.65,1,python-ai/saved_models/marl/mappo_history.csv
80,45,20.2714,0.75,9,4,84,84,1,12,2132.26,1,python-ai/saved_models/marl/mappo_history.csv
81,308,-29.0766,0.625,15,8,86,85,0,8,1895.64,1,python-ai/saved_models/marl/mappo_history.csv
82,489,19.0047,0.75,10,2,80,76,2,7,2053.7,0,python-ai/saved_models/marl/mappo_history.csv
83,385,-19.2821,0.625,14,7,78,78,1,7,1903.89,0,python-ai/saved_models/marl/mappo_history.csv
84,406,-30.022,0.6,15,6,82,79,1,4,1788.13,1,python-ai/saved_models/marl/mappo_history.csv
85,338,18.6958,0.75,10,3,83,80,1,13,2227.19,3,python-ai/saved_models/marl/mappo_history.csv
86,322,-12.3007,0.675,13,7,88,86,1,12,2039.04,0,python-ai/saved_models/marl/mappo_history.csv
87,98,41.141,0.8,5,1,88,88,4,12,2314.86,0,python-ai/saved_models/marl/mappo_history.csv
88,173,-14.5022,0.575,12,4,79,78,4,9,1965.42,3,python-ai/saved_models/marl/mappo_history.csv
89,305,-26.1739,0.625,15,6,90,90,0,8,2039.22,2,python-ai/saved_models/marl/mappo_history.csv
90,395,-8.4399,0.675,13,4,88,86,2,9,1983.87,0,python-ai/saved_models/marl/mappo_history.csv
91,244,-7.6124,0.675,13,9,75,75,0,4,2078.61,0,python-ai/saved_models/marl/mappo_history.csv
92,389,-23.4883,0.625,15,5,82,81,1,5,1842.37,0,python-ai/saved_models/marl/mappo_history.csv
93,353,-26.7374,0.575,15,5,80,78,1,10,1941.77,0,python-ai/saved_models/marl/mappo_history.csv
94,219,29.8214,0.75,8,0,80,80,4,10,2154.93,1,python-ai/saved_models/marl/mappo_history.csv
95,472,-4.1998,0.675,12,5,83,80,3,5,2046.72,3,python-ai/saved_models/marl/mappo_history.csv
96,110,6.35,0.7,10,2,97,96,3,11,2121.77,2,python-ai/saved_models/marl/mappo_history.csv
97,226,-10.5582,0.65,14,5,82,81,0,2,1998.19,1,python-ai/saved_models/marl/mappo_history.csv
98,38,-5.8227,0.7,12,5,85,85,2,12,2044.27,0,python-ai/saved_models/marl/mappo_history.csv
99,247,-9.9236,0.625,12,4,78,78,4,2,1982.54,1,python-ai/saved_models/marl/mappo_history.csv
100,127,3.2741,0.675,10,6,83,83,2,12,2135.15,1,python-ai/saved_models/marl/mappo_history.csv
101,399,-9.0916,0.65,13,5,78,75,4,5,1955.03,1,python-ai/saved_models/marl/mappo_history.csv
102,240,13.2598,0.75,10,4,81,81,3,4,2174.78,0,python-ai/saved_models/marl/mappo_history.csv
103,384,-10.4658,0.625,13,3,81,81,1,9,1944.64,0,python-ai/saved_models/marl/mappo_history.csv
104,233,20.419,0.725,8,2,86,86,5,4,2190.69,1,python-ai/saved_models/marl/mappo_history.csv
105,294,-14.8685,0.675,13,7,91,90,2,6,1955.7,1,python-ai/saved_models/marl/mappo_history.csv
106,239,11.1623,0.725,11,4,77,76,0,5,2042.6,0,python-ai/saved_models/marl/mappo_history.csv
107,429,-22.8266,0.625,15,5,77,76,0,4,1749.52,1,python-ai/saved_models/marl/mappo_history.csv
108,279,22.9694,0.725,9,2,82,82,1,6,2131.59,1,python-ai/saved_models/marl/mappo_history.csv
109,417,6.8391,0.675,10,3,83,82,2,11,1952.06,2,python-ai/saved_models/marl/mappo_history.csv
110,422,-14.2439,0.6,14,3,74,74,3,2,1809.75,0,python-ai/saved_models/marl/mappo_history.csv
111,293,2.0141,0.725,11,6,92,92,0,6,2148.03,0,python-ai/saved_models/marl/mappo_history.csv
112,331,-8.1304,0.675,12,5,91,91,1,10,1977.91,1,python-ai/saved_models/marl/mappo_history.csv
113,454,-0.3439,0.65,11,4,80,79,4,12,1911.2,0,python-ai/saved_models/marl/mappo_history.csv
114,265,9.2326,0.725,11,3,87,86,3,9,2076.04,2,python-ai/saved_models/marl/mappo_history.csv
115,254,3.939,0.675,11,4,76,75,4,6,2059.32,0,python-ai/saved_models/marl/mappo_history.csv
116,309,-6.1994,0.65,12,4,87,86,3,8,2112.24,1,python-ai/saved_models/marl/mappo_history.csv
117,122,3.9837,0.675,10,3,89,89,2,12,2054.49,2,python-ai/saved_models/marl/mappo_history.csv
118,62,33.6237,0.8,7,3,92,92,1,12,2298.42,2,python-ai/saved_models/marl/mappo_history.csv
119,235,-5.5826,0.675,13,5,81,81,0,1,2061.43,1,python-ai/saved_models/marl/mappo_history.csv
120,392,-14.7007,0.65,13,6,87,84,3,6,1956.06,0,python-ai/saved_models/marl/mappo_history.csv
121,267,24.9112,0.75,9,3,82,81,1,8,2226.33,0,python-ai/saved_models/marl/mappo_history.csv
122,127,26.2943,0.75,8,2,85,85,3,16,2282.76,2,python-ai/saved_models/marl/mappo_history.csv
123,353,-20.9247,0.625,15,7,83,82,0,7,1973.32,3,python-ai/saved_models/marl/mappo_history.csv
124,36,33.1008,0.8,7,2,89,89,3,17,2129.01,1,python-ai/saved_models/marl/mappo_history.csv
125,176,-12.2926,0.625,13,6,78,78,2,6,1957.07,0,python-ai/saved_models/marl/mappo_history.csv
126,427,-29.0057,0.6,16,7,83,79,1,7,1864.13,1,python-ai/saved_models/marl/mappo_history.csv
127,37,30.345,0.775,7,3,84,83,1,16,2168.76,0,python-ai/saved_models/marl/mappo_history.csv
128,433,-15.9547,0.65,14,5,82,81,1,3,1945.66,1,python-ai/saved_models/marl/mappo_history.csv
129,376,-5.8573,0.675,13,5,83,82,0,9,1934.7,1,python-ai/saved_models/marl/mappo_history.csv
130,275,15.5742,0.725,9,3,87,87,4,8,2149.52,1,python-ai/saved_models/marl/mappo_history.csv
131,137,-10.4229,0.625,12,6,83,83,2,13,2115.33,1,python-ai/saved_models/marl/mappo_history.csv
132,258,28.8123,0.775,7,5,92,90,3,13,2373.71,0,python-ai/saved_models/marl/mappo_history.csv
133,411,-20.7518,0.625,14,7,78,78,2,4,1865.57,3,python-ai/saved_models/marl/mappo_history.csv
134,490,14.5186,0.725,10,2,84,81,2,11,2069.54,3,python-ai/saved_models/marl/mappo_history.csv
135,156,-25.8674,0.6,16,7,73,73,0,6,1986.52,0,python-ai/saved_models/marl/mappo_history.csv
136,303,11.4332,0.725,11,3,87,86,0,13,2062.79,1,python-ai/saved_models/marl/mappo_history.csv
137,44,4.9022,0.725,11,6,91,91,0,8,2086.17,2,python-ai/saved_models/marl/mappo_history.csv
138,485,-22.4983,0.625,15,8,79,77,0,5,1891.54,2,python-ai/saved_models/marl/mappo_history.csv
139,323,-30.4681,0.625,15,8,94,94,0,6,1990.59,3,python-ai/saved_models/marl/mappo_history.csv
140,145,25.584,0.8,8,3,87,86,3,16,2233.46,2,python-ai/saved_models/marl/mappo_history.csv
141,305,2.4181,0.725,11,6,87,83,1,11,2105.65,0,python-ai/saved_models/marl/mappo_history.csv
