update,episode,checkpoint,checkpoint_md5,lr_scale,state_set,n_decision,n_highrisk,n_lowrisk,delta_edge,p_edge_high_risk,p_edge_low_risk,greedy_edge_high_risk,greedy_edge_low_risk,stochastic_entropy_high_risk,stochastic_entropy_all_decision,max_probability_all_decision,fraction_max_probability_gt_099_all_decision,source_artifact
13,104,R2_trajectory_u013.pth,eed868321824c7d75e47c017e5cc5dc5,0.84,UNION,74237,3592,70621,0.0422064875604769,0.3348252938048243,0.2926188062443474,0.2942650334075724,0.2279491935826454,0.5926826975365489,0.5568235783913155,0.7182472984777827,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,112,R2_trajectory_u014.pth,3c48163c82aedd13940180d6023783d7,0.8266666666666667,RANDOM,4975,216,4757,0.07762779005346626,0.30345169276201717,0.2258239027085509,0.2916666666666667,0.14399831826781584,0.6158730143006984,0.607606315853392,0.7252047034004825,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,112,R2_trajectory_u014.pth,3c48163c82aedd13940180d6023783d7,0.8266666666666667,UNION,74237,3592,70621,0.04019910604856597,0.3304325788708887,0.29023347282232276,0.34799554565701557,0.23446283683323657,0.5813854064025248,0.5470797461267907,0.7323895677690714,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,120,R2_trajectory_u015.pth,52202a79cf5f8b7c18b89e00a7850d81,0.8133333333333334,RANDOM,4975,216,4757,0.07174734274403186,0.27230182337074504,0.2005544806267132,0.18055555555555555,0.08030271179314694,0.5588874110005055,0.571581052370979,0.7462728186468384,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,120,R2_trajectory_u015.pth,52202a79cf5f8b7c18b89e00a7850d81,0.8133333333333334,UNION,74237,3592,70621,0.03209821512497585,0.29980174006712995,0.2677035249421541,0.18624721603563474,0.16696166862547968,0.539498589938487,0.5135536667637943,0.7546465011486657,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,128,R2_trajectory_u016.pth,583a0249d8866a510ea8ae4a813a8ff8,0.8,RANDOM,4975,216,4757,0.08026065284824144,0.27164226434197863,0.1913816114937372,0.18055555555555555,0.07904141265503468,0.5653995143139611,0.5519021847114393,0.7590996188135003,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,128,R2_trajectory_u016.pth,583a0249d8866a510ea8ae4a813a8ff8,0.8,UNION,74237,3592,70621,0.03171052742415603,0.2849436366115762,0.25323310918742015,0.18624721603563474,0.16233131787995073,0.5282950743053927,0.49302565666466985,0.7656185299590457,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,136,R2_trajectory_u017.pth,db902b819611223d40c3e264a7337ebb,0.7866666666666666,RANDOM,4975,216,4757,0.07889746419248636,0.27615951795100785,0.1972620537585215,0.18518518518518517,0.05234391423165861,0.5893863558415305,0.5678031778949841,0.7416023465856236,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,136,R2_trajectory_u017.pth,db902b819611223d40c3e264a7337ebb,0.7866666666666666,UNION,74237,3592,70621,0.057215578509717924,0.31502205194011673,0.2578064734303988,0.18624721603563474,0.10719191175429404,0.5840943155306323,0.5074965222175177,0.7463543409963157,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,144,R2_trajectory_u018.pth,44f15a9937ebe57e61dd2ae18bda77e9,0.7733333333333333,RANDOM,4975,216,4757,0.07305110900927594,0.2780504910942572,0.20499938208498128,0.17592592592592593,0.05276434727769603,0.6035446553119799,0.5679106900691341,0.7331498117662555,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,144,R2_trajectory_u018.pth,44f15a9937ebe57e61dd2ae18bda77e9,0.7733333333333333,UNION,74237,3592,70621,0.06560834352423428,0.32670419155546143,0.26109584803122715,0.18151447661469933,0.1072202319423401,0.6067238413346986,0.5146580754956475,0.73079317096303,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,152,R2_trajectory_u019.pth,5ce76665a068cf361e8c9a65e483e4a5,0.76,RANDOM,4975,216,4757,0.0725008770566202,0.2592298907159905,0.1867290136593703,0.2175925925925926,0.05192348118562119,0.584773259716547,0.5454785437499479,0.7525682386261734,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,152,R2_trajectory_u019.pth,5ce76665a068cf361e8c9a65e483e4a5,0.76,UNION,74237,3592,70621,0.08015358077031379,0.32739849206292093,0.24724491129260714,0.33351893095768376,0.10321292533382422,0.5938109226707187,0.5112006099954444,0.7382085605760695,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,160,R2_trajectory_u020.pth,98a53f68474516c4653d60babc18a8bd,0.7466666666666666,RANDOM,4975,216,4757,0.07464029829562163,0.2486256707019897,0.17398537240636808,0.09722222222222222,0.05844019339920118,0.59659715729726,0.5299986579178622,0.7652902971020895,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,160,R2_trajectory_u020.pth,98a53f68474516c4653d60babc18a8bd,0.7466666666666666,UNION,74237,3592,70621,0.09285061903846431,0.32968407967348895,0.23683346063502464,0.23357461024498885,0.08408263830871837,0.6009873836175994,0.5000270706773244,0.7463558965168045,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,168,R2_trajectory_u021.pth,bf7aba3818c97343b0c49d2e3fb2db48,0.7333333333333334,RANDOM,4975,216,4757,0.10506584184798948,0.28515208136781844,0.18008623951982897,0.2175925925925926,0.07756989699390372,0.6273668095158882,0.5253092275982914,0.7656729274718606,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,168,R2_trajectory_u021.pth,bf7aba3818c97343b0c49d2e3fb2db48,0.7333333333333334,UNION,74237,3592,70621,0.13203245964515428,0.37263791073798946,0.24060545109283518,0.2817371937639198,0.16124099064017786,0.6322695450938407,0.4889461702873946,0.7541582483633621,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
