update,episode,actor_loss,critic_loss,entropy,approx_kl,clip_frac,explained_var,decision_frac,source_artifact
11,88,-0.0028558570575114572,20.213141202926636,0.5079133920371532,0.005958683153396496,0.036945194471627474,0.3296300172805786,0.06954719126224518,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
12,96,-0.029984916211105883,14.110140520334244,0.43196767643094064,0.0008786247406458697,0.04218551928643137,0.39600062370300293,0.06615285575389862,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
13,104,-0.0024930738029070197,16.31998300552368,0.47767940163612366,0.004643931548403368,0.02331550824455917,0.4194485545158386,0.0720740482211113,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
14,112,-0.10952109523350373,20.506019115447998,0.5004431858658791,0.0052313827207481345,0.010052542912308126,0.35832542181015015,0.06697600334882736,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
15,120,-0.0038113043665362056,15.702776610851288,0.5057434812188148,0.0036424904046592453,0.03399118210654706,0.4538425803184509,0.0714099183678627,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
16,128,-0.0018596145673654974,13.023552596569061,0.416817381978035,0.0010229923065903906,0.019617945603386033,0.48356330394744873,0.08362500369548798,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
17,136,-0.01164793242351152,19.007761096954347,0.3474660076200962,0.0027795183447067552,0.019650144828483464,0.4828184247016907,0.09132929891347885,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
18,144,-0.0037925388780422507,14.08564967662096,0.3509098902344704,0.0018780710534340688,0.008218205021694302,0.4916774034500122,0.08409307897090912,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
19,152,-0.0023659336657146923,13.835639357566833,0.4104831349104643,0.002389675674262244,0.022255647905694786,0.4982134699821472,0.08054487407207489,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
20,160,0.016483391093061073,13.617392539978027,0.4292645201086998,0.0007944434377701648,0.054051954904571174,0.5443259477615356,0.07409391552209854,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
21,168,0.032597266137599945,12.57421109676361,0.3840320840477943,-0.005825833074523196,0.021457013231702148,0.5112544298171997,0.09218455851078033,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
22,176,-0.07771684455219656,16.393035650253296,0.3826229125261307,0.018861945247287064,0.09202819170895964,0.43824613094329834,0.08665615320205688,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
23,184,-0.02426246561226435,10.250403928756715,0.3969493433833122,-3.845984783043821e-05,0.03013191930949688,0.5407427549362183,0.09641383588314056,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
24,192,-0.013385251781437546,13.932643175125122,0.3013992264866829,0.0005568281913017614,0.02118846862576902,0.5150084495544434,0.10315756499767303,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
25,200,-0.008913380652666092,13.892720365524292,0.27455949038267136,0.0011871499631562477,0.022523079160600902,0.5136662721633911,0.13793645799160004,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
26,208,-0.0008792448461463209,14.332812488079071,0.2557029677554965,0.0015146477911234524,0.006245097640203312,0.5750118494033813,0.14558634161949158,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
27,216,-0.006324847933137789,13.468836188316345,0.23080364763736724,-0.0017409665284038756,0.0057870458578690885,0.5602736473083496,0.15037760138511658,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
