update,state_set,action,high_minus_low_probability,source_artifact
13,RANDOM,MIGRATE_EDGE,0.0810557454639903,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
13,RANDOM,MIGRATE_CLOUD,-0.08708302153194059,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
13,RANDOM,PREEMPT_REROUTE,-0.0017854350190065426,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
13,UNION,STAY,-0.01789187069368714,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
13,UNION,MIGRATE_EDGE,0.0422064875604769,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
13,UNION,MIGRATE_CLOUD,-0.024074085818784265,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
13,UNION,PREEMPT_REROUTE,-0.0002405322605291379,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,RANDOM,STAY,0.009394953862315925,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,RANDOM,MIGRATE_EDGE,0.07762779005346626,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,RANDOM,MIGRATE_CLOUD,-0.08502169830614828,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,RANDOM,PREEMPT_REROUTE,-0.002001044766251871,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,UNION,STAY,-0.01637110843303069,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,UNION,MIGRATE_EDGE,0.04019910604856597,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,UNION,MIGRATE_CLOUD,-0.023558419616136424,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
14,UNION,PREEMPT_REROUTE,-0.0002695790190753501,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
