time,nodeId,cpu,ram,bandwidth,energy,runningTasks,active,degraded,linkUp,linkBandwidthMbps,linkLatencyMs,linkPacketLoss,underAttack,willFailSoon
25.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
25.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
25.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
26.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
26.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
26.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
27.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
27.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
27.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
28.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
28.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
28.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
29.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
29.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
29.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,0
30.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
30.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
30.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
31.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
31.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
31.10,2,50.0000,25.0000,2.0000,125.0000,2,1,1,1,100.0000,10.0000,0.0000,0,1
32.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
