nodeId,time,predicted_failure_risk,prediction_uncertainty
6,40.100000,0.014567,0.000000
7,40.100000,0.049294,0.000000
8,40.100000,0.049280,0.000000
9,40.100000,0.049284,0.000000
0,41.100000,0.621162,0.000000
1,41.100000,0.049277,0.000000
2,41.100000,0.080370,0.000000
3,41.100000,0.049286,0.000000
4,41.100000,0.014581,0.000000
5,41.100000,0.042553,0.000000
6,41.100000,0.014590,0.000000
7,41.100000,0.049292,0.000000
8,41.100000,0.049272,0.000000
9,41.100000,0.049297,0.000000
0,42.100000,0.621119,0.000000
1,42.100000,0.049276,0.000000
2,42.100000,0.080370,0.000000
3,42.100000,0.049281,0.000000
4,42.100000,0.014587,0.000000
5,42.100000,0.042553,0.000000
6,42.100000,0.014598,0.000000
7,42.100000,0.049284,0.000000
8,42.100000,0.049278,0.000000
9,42.100000,0.049288,0.000000
0,43.100000,0.621081,0.000000
1,43.100000,0.049277,0.000000
2,43.100000,0.080370,0.000000
3,43.100000,0.049296,0.000000
4,43.100000,0.014593,0.000000
5,43.100000,0.042553,0.000000
6,43.100000,0.014574,0.000000
7,43.100000,0.049274,0.000000
8,43.100000,0.049274,0.000000
9,43.100000,0.049285,0.000000
0,44.100000,0.621089,0.000000
1,44.100000,0.049283,0.000000
2,44.100000,0.080370,0.000000
3,44.100000,0.049295,0.000000
4,44.100000,0.014583,0.000000
5,44.100000,0.042553,0.000000
6,44.100000,0.014561,0.000000
7,44.100000,0.049284,0.000000
8,44.100000,0.049283,0.000000
9,44.100000,0.049288,0.000000
0,45.100000,0.621147,0.000000
1,45.100000,0.049284,0.000000
2,45.100000,0.080369,0.000000
3,45.100000,0.049285,0.000000
4,45.100000,0.014569,0.000000
5,45.100000,0.042553,0.000000
6,45.100000,0.014560,0.000000
7,45.100000,0.049290,0.000000
8,45.100000,0.049275,0.000000
9,45.100000,0.049274,0.000000
0,46.100000,0.621147,0.000000
1,46.100000,0.049286,0.000000
2,46.100000,0.080369,0.000000
3,46.100000,0.049294,0.000000
4,46.100000,0.014567,0.000000
5,46.100000,0.042553,0.000000
6,46.100000,0.014573,0.000000
7,46.100000,0.049293,0.000000
8,46.100000,0.049303,0.000000
9,46.100000,0.049289,0.000000
0,47.100000,0.621144,0.000000
1,47.100000,0.049280,0.000000
2,47.100000,0.080369,0.000000
3,47.100000,0.049292,0.000000
4,47.100000,0.014566,0.000000
5,47.100000,0.042553,0.000000
6,47.100000,0.015167,0.000000
7,47.100000,0.049290,0.000000
8,47.100000,0.049301,0.000000
9,47.100000,0.049288,0.000000
0,48.100000,0.050244,0.000000
1,48.100000,0.049278,0.000000
2,48.100000,0.080369,0.000000
3,48.100000,0.049287,0.000000
4,48.100000,0.014563,0.000000
5,48.100000,0.042553,0.000000
6,48.100000,0.015164,0.000000
7,48.100000,0.049280,0.000000
8,48.100000,0.049296,0.000000
9,48.100000,0.049290,0.000000
0,49.100000,0.049312,0.000000
1,49.100000,0.049286,0.000000
2,49.100000,0.080369,0.000000
3,49.100000,0.049272,0.000000
4,49.100000,0.014577,0.000000
5,49.100000,0.042553,0.000000
6,49.100000,0.015141,0.000000
7,49.100000,0.049280,0.000000
8,49.100000,0.049295,0.000000
9,49.100000,0.049283,0.000000
0,50.100000,0.042553,0.000000
1,50.100000,0.059833,0.000000
2,50.100000,0.049091,0.000000
3,50.100000,0.014570,0.000000
4,50.100000,0.042553,0.000000
5,50.100000,0.059833,0.000000
6,50.100000,0.042553,0.000000
7,50.100000,0.042553,0.000000
8,50.100000,0.042553,0.000000
9,50.100000,0.042553,0.000000
0,51.100000,0.042553,0.000000
1,51.100000,0.059833,0.000000
